name_en_gb,tag,desk_name,bucket_by_tag,bucket_by_desk,institutional,programs_all_years,pax_all_years
IP Junior SSRVM,C&T-PY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,10,279
IP Teens School M1,C&T-PY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,10,283
IP Junior School M1,C&T-PY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,8,139
IP Junior School M2,C&T-PY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,8,139
Online Utkarsha Yoga,C&T-UY-MY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,True,8,231
IP Kids or Teens Free School M2,C&T-PY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,7,265
IP Kids or Teens Free School M3,C&T-PY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,7,265
IP Teens Free School Vacation M1,C&T-PY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,7,270
IP Junior Blind,C&T-PY-Special,Children and Teens Desk,C&T Programs,C&T Programs,True,6,37
Online Know Your Child,KYC-KYT,Children and Teens Desk,C&T Programs,C&T Programs,True,6,440
Govt. School Online MY1,C&T-UY-MY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,5,348
IP Kids Free School Vacation M1,C&T-PY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,5,253
Online Medha Yoga 1 Upgrade,UY_MY Upgrade,Children and Teens Desk,C&T Programs,C&T Programs,False,5,20
School Medha Yoga 2,C&T-UY-MY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,5,111
School Medha Yoga Level 1,C&T-UY-MY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,False,5,162
IP Kids Free School M1,C&T-PY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,4,130
Yes! 2,C&T-UY-MY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,True,4,964
IP Junior Blind,C&T-PY-Special,Children and Teens Desk,C&T Programs,C&T Programs,False,3,35
IP Junior Deaf and Mute,C&T-PY-Special,Children and Teens Desk,C&T Programs,C&T Programs,True,3,67
IP Teens Free School M1,C&T-PY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,3,135
KYC,KYC-KYT,Children and Teens Desk,C&T Programs,C&T Programs,True,3,143
Online SC UY,C&T-UY-MY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,False,3,19
School Online KYC,KYC-KYT,Children and Teens Desk,C&T Programs,C&T Programs,True,3,104
Intuition Process Senior,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,True,2,16
KYT,KYC-KYT,Children and Teens Desk,C&T Programs,C&T Programs,True,2,57
Online Know Your Teen,KYC-KYT,Children and Teens Desk,C&T Programs,C&T Programs,True,2,62
PrajÃ±Ä Yoga(Seniors) for 8-18 yrs,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,True,2,68
Govt. School MY1,C&T-UY-MY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,False,1,47
Govt. School Online MY1,C&T-UY-MY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,False,1,25
IP Junior Deaf and Mute,C&T-PY-Special,Children and Teens Desk,C&T Programs,C&T Programs,False,1,1
IP Junior Free School M1,C&T-PY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,1,7
IP Junior Free School M2,C&T-PY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,1,7
IP Junior Free School Vacation M1,C&T-PY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,True,1,6
IP Junior Repeaters,IP repeaters,Children and Teens Desk,C&T Programs,C&T Programs,True,1,4
IP Kids n Teens - Deaf and Mute,C&T-PY-Special,Children and Teens Desk,C&T Programs,C&T Programs,False,1,22
IP2,C&T-PY2-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,True,1,18
Online SC MY1,C&T-UY-MY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,False,1,2
PrajÃ±Ä Yoga(Juniors) for 5-8 yrs,C&T-PY-NonInstitutional,Children and Teens Desk,C&T Programs,C&T Programs,True,1,25
School Medha Yoga 2,C&T-UY-MY-Institutional,Children and Teens Desk,C&T Programs,C&T Programs,False,1,10
School Utkarsha Yoga Upgrade,UY_MY Upgrade,Children and Teens Desk,C&T Programs,C&T Programs,False,1,52
Happiness Program (3 Days),HP,Happiness Program,Happiness Programs,Happiness Programs,False,24785,228303
Online Meditation and Breath Workshop,HP,Happiness Program,Happiness Programs,Happiness Programs,False,23740,160878
Happiness Program,HP,Happiness Program,Happiness Programs,Happiness Programs,False,21805,276187
Part I Course,HP,Happiness Program,Happiness Programs,Happiness Programs,False,18586,349024
3 Days Part I Course,HP,Happiness Program,Happiness Programs,Happiness Programs,False,1979,34578
