name_en_gb,tag,desk_name,bucket_by_tag,bucket_by_desk,institutional,programs_all_years,pax_all_years
Sri Sri Yoga Classes,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,True,4,293
TTP Karmayoga,TTP,(none),Other Programs,Other Programs,False,4,148
Women Wellness Module,Wellness,Wellness Program Desk,Other Programs,Other Programs,False,4,19
iDrive,(untagged),MSME,Other Programs,Other Programs,True,4,108
Agriculture Part-1,(untagged),(none),Other Programs,Other Programs,False,3,132
Ancient wisdom,(untagged),(none),Other Programs,Other Programs,False,3,160
Corporate Yoga Trainers Meet (CTM),(untagged),(none),Other Programs,Other Programs,False,3,81
Online Gopalan Training,(untagged),SSIAST,Other Programs,Other Programs,False,3,52
Online Quit Tobacco Program,others,Wellness Program Desk,Other Programs,Other Programs,False,3,20
PrajÃ±Ä Yoga TTP,(untagged),TTP desk,Other Programs,Other Programs,False,3,110
Program for Release from Addictions Naturally (P.R.A.N),(untagged),Wellness Program Desk,Other Programs,Other Programs,False,3,21
SELP,Institutional,Happiness Program,Other Programs,Happiness Programs,True,3,900
Sahaj Samadhi Dhyana Yoga 1on1,Sahaj,Sahaj Samadhi Meditation Desk,Other Programs,Other Programs,True,3,3
Smart Excel,others,Children and Teens Desk,Other Programs,C&T Programs,True,3,220
Spine Care TTP,(untagged),Sri Sri School of Yoga,Other Programs,Other Programs,False,3,54
SpineCare Yoga and Posture Workshop - SSRVM School,(untagged),Sri Sri yoga DESK,Other Programs,Other Programs,False,3,328
Sri Sri Lemurrian Yoga Part 2,others,Sri Sri yoga DESK,Other Programs,Other Programs,False,3,11
Sri Sri Meditation,(untagged),(none),Other Programs,Other Programs,False,3,152
Sri Sri Yoga Classes for Kids,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,True,3,308
YLTP 1,(untagged),(none),Other Programs,Other Programs,False,3,86
iIntegrate,(untagged),MSME,Other Programs,Other Programs,True,3,88
LIVE,(untagged),KYC DESK,Other Programs,Other Programs,False,2,81
Online Low Cost Cold Storage Construction Course,others,SSIAST,Other Programs,Other Programs,False,2,58
Online Sri Sri Kids Gardening Orientation,others,SSIAST,Other Programs,Other Programs,False,2,46
Online Wellness Program for Substance Users,Wellness,Wellness Program Desk,Other Programs,Other Programs,False,2,2
Residential SpineCare Yoga and Posture Program -Adults,Spine,Spine Care,Other Programs,Other Programs,False,2,14
SHUDDHI,(untagged),Sri Sri School of Yoga,Other Programs,Other Programs,False,2,33
SSSK EES,(untagged),(none),Other Programs,Other Programs,False,2,18
Sanyam 2,Sanyam,PART 2 and DSN DESK,Other Programs,Other Programs,False,2,1014
SpineCare Yoga and Posture Program for Adults,Spine,Sri Sri yoga DESK,Other Programs,Other Programs,True,2,34
Spl AoL Program for Revenue Officials,(untagged),Happiness Program,Other Programs,Happiness Programs,False,2,190
Sri Sri Hatha Yoga Level 2,(untagged),Sri Sri yoga DESK,Other Programs,Other Programs,False,2,14
Sri Sri Natya,others,(none),Other Programs,Other Programs,True,2,24
TTP Happiness,TTP,TTP desk,Other Programs,Other Programs,True,2,41
Tapping your Inner potential for Success,(untagged),MSME,Other Programs,Other Programs,True,2,2080
Teens Covid Care Program - Covid +ve in Home Isolation,(untagged),Children and Teens Desk,Other Programs,C&T Programs,False,2,5
VTP,VTP,VTP Desk,Other Programs,Other Programs,True,2,16
Wellness Program,Wellness,Wellness Program Desk,Other Programs,Other Programs,True,2,8
YES UTSAH,(untagged),(none),Other Programs,Other Programs,False,2,183
iIntegrate,(untagged),MSME,Other Programs,Other Programs,False,2,60
200H Yoga Teacher Training Course,(untagged),Sri Sri School of Yoga,Other Programs,Other Programs,False,1,37
300H Yoga Teacher Training Course,(untagged),Sri Sri School of Yoga,Other Programs,Other Programs,False,1,11
Agriculture Teachers Training Program,others,SSIAST,Other Programs,Other Programs,False,1,45
Ayur Jagruti,(untagged),Ayur Jagruti,Other Programs,Other Programs,True,1,15
Eternity Process,Eternity,Eternityprocess,Other Programs,Other Programs,True,1,9
IDY 2021,(untagged),Happiness Program,Other Programs,Happiness Programs,True,1,27
Online High Income Yielding Kitchen Gardens,(untagged),SSIAST,Other Programs,Other Programs,False,1,24
Online Sri Sri Kids Gardening,(untagged),SSIAST,Other Programs,Other Programs,False,1,1
Online Sri Sri Yoga Classes,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,True,1,29
Online Sri Sri Yoga Classes for Kids,SSY - All Programs,Sri Sri School of Yoga,Other Programs,Other Programs,True,1,35
Online Sri Sri Yoga LevelÂ  1,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,True,1,13
Online Wellness Program,Wellness,Wellness Program Desk,Other Programs,Other Programs,True,1,4
Online Women Wellness Program,Wellness,Wellness Program Desk,Other Programs,Other Programs,True,1,7
P.R.A.N TTP - Tobacco,(untagged),TTP desk,Other Programs,Other Programs,False,1,82
Permaculture for beginners,(untagged),VVMVP_Desk,Other Programs,Other Programs,False,1,10
Prison Program for Staff,others,PRISON SMART,Other Programs,Other Programs,False,1,44
Recharge sessions,(untagged),MSME,Other Programs,Other Programs,False,1,20
SpineCare Yoga and Posture Workshop for Children,Spine,Sri Sri yoga DESK,Other Programs,Other Programs,True,1,72
Sri Sri Hatha Yoga Level 1 - Residential,SSY - All Programs,Sri Sri yoga DESK,Other Programs,Other Programs,False,1,2
Sri Sri Marma Practitioners Training Program,(untagged),Wellness Program Desk,Other Programs,Other Programs,False,1,56
Sri Sri Natural Farming,others,SSIAST,Other Programs,Other Programs,True,1,1
TTP Karmayoga,TTP,(none),Other Programs,Other Programs,True,1,43
Teens Covid Care Program - Post Covid rehabilitation,(untagged),Children and Teens Desk,Other Programs,C&T Programs,False,1,8
The Art of Living Kids online,(untagged),Children and Teens Desk,Other Programs,C&T Programs,True,1,44
Tlex,(untagged),Corporate Desk,Other Programs,Other Programs,False,1,36
Tlex,(untagged),Corporate Desk,Other Programs,Other Programs,True,1,11
Training on Bee Keeping Level 2,(untagged),SSIAST,Other Programs,Other Programs,False,1,3
VTP Reconnect,(untagged),VTP Desk,Other Programs,Other Programs,False,1,10
Weekend Retreat,(untagged),Sri Sri School of Yoga,Other Programs,Other Programs,False,1,4
Wellness Program TTP,Wellness,Wellness Program Desk,Other Programs,Other Programs,True,1,46
YPDS,others,Sri Sri yoga DESK,Other Programs,Other Programs,False,1,62
Rural Happiness Program,YLTP,YLTP  DESK,Rural Programs,Rural Programs,False,4235,109513
Rural ArtExcel,C&T-UY-MY-NonInstitutional,Children and Teens Desk,Rural Programs,C&T Programs,False,495,28087
Rural YES,C&T-UY-MY-NonInstitutional,Children and Teens Desk,Rural Programs,C&T Programs,False,408,28235
AMP - Rural,AMP,YLTP  DESK,Rural Programs,Rural Programs,False,77,3998
Online Rural Happiness Program,YLTP,YLTP  DESK,Rural Programs,Rural Programs,False,55,343
Rural Happiness Program,YLTP,YLTP  DESK,Rural Programs,Rural Programs,True,38,784
Rural YES,C&T-UY-MY-NonInstitutional,Children and Teens Desk,Rural Programs,C&T Programs,True,27,2372
Rural ArtExcel,C&T-UY-MY-NonInstitutional,Children and Teens Desk,Rural Programs,C&T Programs,True,20,1148
Rural VTP,VTP,VTP Desk,Rural Programs,Other Programs,False,16,255
Rural AE-YES,(untagged),(none),Rural Programs,Other Programs,False,15,667
Online Rural Happiness Program,YLTP,YLTP  DESK,Rural Programs,Rural Programs,True,13,494
